rule,rule_time
csharp.lang.security.xxe.xmldocument-unsafe-parser-override.xmldocument-unsafe-parser-override,0.0
csharp.lang.security.xxe.xmlreadersettings-unsafe-parser-override.xmlreadersettings-unsafe-parser-override,0.0
csharp.lang.security.xxe.xmltextreader-unsafe-defaults.xmltextreader-unsafe-defaults,0.0
csharp.mongo.csharp-mongo-hardcoded-secret.csharp-mongo-hardcoded-secret,0.0
csharp.postgres.npgsqlconnectionstringbuilder-hardcoded-secret.npgsqlconnectionstringbuilder-hardcoded-secret,0.0
csharp.razor.security.html-raw-json.html-raw-json,0.0
dockerfile.security.last-user-is-root.last-user-is-root,0.0
dockerfile.security.missing-user-entrypoint.missing-user-entrypoint,0.0
dockerfile.security.missing-user.missing-user,0.0
generic.ci.security.bash-reverse-shell.bash_reverse_shell,0.0025064945220947266
generic.dockerfile.missing-zypper-no-confirm-switch.missing-zypper-no-confirm-switch,0.0
generic.dockerfile.security.last-user-is-root.last-user-is-root,0.0
generic.html-templates.security.var-in-script-src.var-in-script-src,0.0
generic.html-templates.security.var-in-script-tag.var-in-script-tag,0.0
generic.nginx.security.alias-path-traversal.alias-path-traversal,0.0
generic.nginx.security.dynamic-proxy-host.dynamic-proxy-host,0.0
generic.nginx.security.dynamic-proxy-scheme.dynamic-proxy-scheme,0.0
generic.nginx.security.header-injection.header-injection,0.0
generic.nginx.security.header-redefinition.header-redefinition,0.0
generic.nginx.security.insecure-redirect.insecure-redirect,0.0
generic.nginx.security.insecure-ssl-version.insecure-ssl-version,0.0
generic.nginx.security.missing-internal.missing-internal,0.0
generic.nginx.security.missing-ssl-version.missing-ssl-version,0.0
generic.nginx.security.possible-h2c-smuggling.possible-nginx-h2c-smuggling,0.0
generic.secrets.security.detected-amazon-mws-auth-token.detected-amazon-mws-auth-token,0.0
generic.secrets.security.detected-artifactory-password.detected-artifactory-password,0.0
generic.secrets.security.detected-artifactory-token.detected-artifactory-token,0.0
generic.secrets.security.detected-aws-access-key-id-value.detected-aws-access-key-id-value,0.0
generic.secrets.security.detected-aws-account-id.detected-aws-account-id,0.049414873123168945
generic.secrets.security.detected-aws-appsync-graphql-key.detected-aws-appsync-graphql-key,0.0
generic.secrets.security.detected-aws-secret-access-key.detected-aws-secret-access-key,0.0
generic.secrets.security.detected-aws-session-token.detected-aws-session-token,0.0
generic.secrets.security.detected-bcrypt-hash.detected-bcrypt-hash,0.0
generic.secrets.security.detected-codeclimate.detected-codeclimate,0.0
generic.secrets.security.detected-etc-shadow.detected-etc-shadow,0.0
generic.secrets.security.detected-facebook-access-token.detected-facebook-access-token,0.0
generic.secrets.security.detected-facebook-oauth.detected-facebook-oauth,0.0
generic.secrets.security.detected-generic-api-key.detected-generic-api-key,0.0
generic.secrets.security.detected-generic-secret.detected-generic-secret,0.0
generic.secrets.security.detected-github-token.detected-github-token,0.0
generic.secrets.security.detected-google-oauth-access-token.detected-google-oauth-access-token,0.0
generic.secrets.security.detected-heroku-api-key.detected-heroku-api-key,0.0
generic.secrets.security.detected-hockeyapp.detected-hockeyapp,0.0
generic.secrets.security.detected-jwt-token.detected-jwt-token,0.0
generic.secrets.security.detected-kolide-api-key.detected-kolide-api-key,0.0
generic.secrets.security.detected-mailchimp-api-key.detected-mailchimp-api-key,0.0
generic.secrets.security.detected-mailgun-api-key.detected-mailgun-api-key,0.0
generic.secrets.security.detected-npm-registry-auth-token.detected-npm-registry-auth-token,0.0
generic.secrets.security.detected-outlook-team.detected-outlook-team,0.0
generic.secrets.security.detected-paypal-braintree-access-token.detected-paypal-braintree-access-token,0.0
generic.secrets.security.detected-pgp-private-key-block.detected-pgp-private-key-block,0.0
generic.secrets.security.detected-picatic-api-key.detected-picatic-api-key,0.0
generic.secrets.security.detected-private-key.detected-private-key,0.0033113956451416016
generic.secrets.security.detected-sauce-token.detected-sauce-token,0.0
generic.secrets.security.detected-sendgrid-api-key.detected-sendgrid-api-key,0.0
generic.secrets.security.detected-slack-token.detected-slack-token,0.0
generic.secrets.security.detected-slack-webhook.detected-slack-webhook,0.0
generic.secrets.security.detected-snyk-api-key.detected-snyk-api-key,0.0
generic.secrets.security.detected-softlayer-api-key.detected-softlayer-api-key,0.0
generic.secrets.security.detected-sonarqube-docs-api-key.detected-sonarqube-docs-api-key,0.0
generic.secrets.security.detected-square-access-token.detected-square-access-token,0.0
generic.secrets.security.detected-square-oauth-secret.detected-square-oauth-secret,0.0
generic.secrets.security.detected-ssh-password.detected-ssh-password,0.0
generic.secrets.security.detected-stripe-api-key.detected-stripe-api-key,0.0
generic.secrets.security.detected-stripe-restricted-api-key.detected-stripe-restricted-api-key,0.0
generic.secrets.security.detected-telegram-bot-api-key.detected-telegram-bot-api-key,0.0
generic.secrets.security.detected-twilio-api-key.detected-twilio-api-key,0.0
generic.secrets.security.detected-twitter-access-token.detected-twitter-access-token,0.0
generic.secrets.security.detected-twitter-oauth.detected-twitter-oauth,0.0
generic.secrets.security.google-maps-apikeyleak.google-maps-apikeyleak,0.0
generic.unicode.security.bidi.contains-bidirectional-characters,0.0
gitlab.security_code_scan.SCS0001-1,0.0
gitlab.security_code_scan.SCS0002-1,0.0
gitlab.security_code_scan.SCS0003-1,0.0
gitlab.security_code_scan.SCS0004-1,0.0
gitlab.security_code_scan.SCS0005-1,1.5020370483398438e-05
gitlab.security_code_scan.SCS0006-1,0.0
gitlab.security_code_scan.SCS0007-1,0.0
gitlab.security_code_scan.SCS0008-1,0.0
gitlab.security_code_scan.SCS0009-1,0.0
gitlab.security_code_scan.SCS0010-1,0.0
gitlab.security_code_scan.SCS0011-1,0.0
gitlab.security_code_scan.SCS0012-1,0.0
gitlab.security_code_scan.SCS0013-1,0.0
gitlab.security_code_scan.SCS0016-1,0.0
gitlab.security_code_scan.SCS0017-1,0.0
gitlab.security_code_scan.SCS0018-1,0.0
